"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"14D","1414 DEGREES LIMITED","2018-09-12","Capital Goods",25038807
"1AD","ADALTA LIMITED","2016-08-22","Pharmaceuticals, Biotechnology & Life Sciences",33098740
"1AG","ALTERRA LIMITED","2008-05-16","Commercial & Professional Services",12039420
"1ST","1ST GROUP LIMITED","2015-06-09","Health Care Equipment & Services",8916955
"1VG","VICTORY GOLDFIELDS LIMITED",,"Class Pend",0
"29M","29METALS LIMITED",,"Materials",0
"2BE","TUBI LIMITED","2019-06-14","Energy","N/A"
"360","LIFE360 INC.","2019-05-10","Software & Services",1008280526
"3DA","AMAERO INTERNATIONAL LTD","2019-12-06","Capital Goods",128128744
"3DP","POINTERRA LIMITED","2008-03-27","Software & Services",345681164
"3MF","3D METALFORGE LIMITED","2021-03-02","Commercial & Professional Services",29468489
"3PL","3P LEARNING LIMITED..","2014-07-09","Consumer Services",359429421
"4DS","4DS MEMORY LIMITED","2010-12-09","Semiconductors & Semiconductor Equipment",204747008
"4DX","4DMEDICAL LIMITED","2020-08-07","Health Care Equipment & Services",388660529
"5GG","PENTANET LIMITED","2021-01-29","Telecommunication Services",198844301
"5GN","5G NETWORKS LIMITED","2017-11-17","Telecommunication Services",107405456
"88E","88 ENERGY LIMITED","2000-01-20","Energy",302370540
"8CO","8COMMON LIMITED","2014-08-27","Software & Services",28071366
"8EC","8IP EMERGING COMPANIES LIMITED","2015-12-01","Not Applic","N/A"
"8IH","8I HOLDINGS LTD","2014-12-17","Diversified Financials",99483750
"8VI","8VI HOLDINGS LIMITED","2015-12-16","Consumer Services",253822788
"92E","92 ENERGY LIMITED","2021-04-15","Energy",19524575
"99L","99 LOYALTY LIMITED.","2013-10-08","Software & Services",74219697
"9SP","9 SPOKES INTERNATIONAL LIMITED","2016-06-09","Software & Services",22400058
"A1G","AFRICAN GOLD LTD.","2019-02-14","Materials",24223079
"A1M","AIC MINES LIMITED","1993-11-04","Materials",18553055
"A2B","A2B AUSTRALIA LIMITED","1999-12-14","Transportation",150538354
"A2M","THE A2 MILK COMPANY LIMITED","2015-03-31","Food, Beverage & Tobacco",4497635280
"A3D","AURORA LABS LIMITED","2016-08-16","Capital Goods",11161442
"A4N","ALPHA HPA LIMITED","2007-10-22","Materials",416201035
"A8G","AUSTRALASIAN GOLD LIMITED","2021-05-13","Materials",6493004
"AAC","AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","2001-08-10","Food, Beverage & Tobacco",801679774
"AAJ","ARUMA RESOURCES LIMITED","2010-07-23","Materials",6781536
"AAP","AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","2000-03-28","Food, Beverage & Tobacco",7015957
"AAR","ANGLO AUSTRALIAN RESOURCES NL","1986-11-13","Materials",44175629
"AAU","ANTILLES GOLD LIMITED","1993-11-25","Materials",20191087
"ABA","AUSWIDE BANK LTD","1994-09-19","Banks",266616221
"ABB","AUSSIE BROADBAND LIMITED","2020-10-16","Class Pend",540565674
"ABC","ADBRI LIMITED","1962-05-31","Materials",2101460727
"ABL","ABILENE OIL AND GAS LIMITED","1974-01-01","Energy","N/A"
"ABP","ABACUS PROPERTY GROUP","2002-11-14","Real Estate",2586749089
"ABR","AMERICAN PACIFIC BORATES LIMITED","2017-07-28","Materials",452038838
"ABV","ADVANCED BRAKING TECHNOLOGY LTD","2002-05-28","Automobiles & Components",13649356
"ABX","AUSTRALIAN BAUXITE LIMITED.","2009-12-24","Materials",20907496
"ABY","ADORE BEAUTY GROUP LIMITED","2020-10-23","Retailing",426383971
"AC8","AUSCANN GROUP HOLDINGS LTD","1989-05-03","Pharmaceuticals, Biotechnology & Life Sciences",48460182
"ACB","A-CAP ENERGY LIMITED","2006-05-19","Energy",53184977
"ACF","ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED","2008-06-27","Capital Goods",77648273
"ACL","AUSTRALIAN CLINICAL LABS LIMITED","2021-05-14","Health Care Equipment & Services",730639134
"ACP","AUDALIA RESOURCES LIMITED","2011-07-06","Materials",17303405
"ACQ","ACORN CAPITAL INVESTMENT FUND LIMITED","2014-05-01","Not Applic",103841706
"ACR","ACRUX LIMITED","2004-09-29","Pharmaceuticals, Biotechnology & Life Sciences",39662755
"ACS","ACCENT RESOURCES NL","2005-08-26","Materials",23301364
"ACU","ACUMENTIS GROUP LIMITED","2003-12-05","Real Estate",17490567
"ACW","ACTINOGEN MEDICAL LIMITED","2007-10-16","Pharmaceuticals, Biotechnology & Life Sciences",240780989
"AD1","AD1 HOLDINGS LIMITED","2016-06-23","Media & Entertainment",24178256
"AD8","AUDINATE GROUP LIMITED","2017-06-30","Technology Hardware & Equipment",595704774
"ADA","ADACEL TECHNOLOGIES LIMITED","1998-02-27","Software & Services",66837454
"ADD","ADAVALE RESOURCES LIMITED","1992-02-06","Energy",22945120
"ADH","ADAIRS LIMITED","2015-06-17","Retailing",770991462
"ADI","APN INDUSTRIA REIT","2013-12-03","Real Estate",703083412
"ADN","ANDROMEDA METALS LIMITED","1996-09-17","Materials",410538287
"ADO","ANTEOTECH LTD","2000-04-07","Pharmaceuticals, Biotechnology & Life Sciences",410062791
"ADR","ADHERIUM LIMITED","2015-08-26","Health Care Equipment & Services",34011730
"ADS","ADSLOT LTD.","1987-12-17","Software & Services",55496176
"ADT","ADRIATIC METALS PLC","2018-05-01","Materials",582375791
"ADV","ARDIDEN LTD","2005-10-25","Materials",15045480
"ADX","ADX ENERGY LTD","1987-01-29","Energy",21232512
"ADY","ADMIRALTY RESOURCES NL.","1983-12-01","Materials",20864425
"AE1","AERISON GROUP LTD",,"Capital Goods",0
"AEE","AURA ENERGY LIMITED","2006-05-30","Energy","N/A"
"AEF","AUSTRALIAN ETHICAL INVESTMENT LIMITED","2002-12-17","Diversified Financials",848522892
"AEG","ABSOLUTE EQUITY PERFORMANCE FUND LIMITED","2015-12-16","Not Applic",97621561
"AEI","AERIS ENVIRONMENTAL LTD","2000-09-12","Commercial & Professional Services",39012454
"AER","AEERIS LTD","2015-04-01","Media & Entertainment",9295948
"AEV","AVENIRA LIMITED","2006-10-10","Materials",6039970
"AFA","ASF GROUP LIMITED","1985-05-29","Diversified Financials",47563577
"AFG","AUSTRALIAN FINANCE GROUP LTD","2015-05-22","Banks",743419237
"AFI","AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","1962-06-30","Not Applic",9400443260
"AFL","AF LEGAL GROUP LTD","2003-09-19","Commercial & Professional Services",42625948
"AFP","AFT PHARMACEUTICALS LIMITED","2015-12-22","Pharmaceuticals, Biotechnology & Life Sciences",435565406
"AFR","AFRICAN ENERGY RESOURCES LIMITED","2007-04-18","Energy",13705134
"AFW","APPLYFLOW LIMITED","2010-11-30","Media & Entertainment",10871122
"AGC","AUSTRALIAN GOLD AND COPPER LTD","2021-01-20","Materials",14000000
"AGD","AUSTRAL GOLD LIMITED","1997-04-18","Materials",96408000
