,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,147100000.0,214100000.0,635400000.0,339800000.0
Minority Interest,,,,
Net Income,146600000.0,214000000.0,635400000.0,339800000.0
Selling General Administrative,12600000.0,12100000.0,11600000.0,13200000.0
Gross Profit,100000.0,2500000.0,1600000.0,600000.0
Ebit,-12500000.0,-9600000.0,-11400000.0,-11900000.0
Operating Income,-12500000.0,-9600000.0,-11400000.0,-11900000.0
Other Operating Expenses,,,1400000.0,-700000.0
Interest Expense,-3200000.0,-5000000.0,-4600000.0,-6200000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,500000.0,100000.0,0.0,0.0
Total Revenue,100000.0,2500000.0,1600000.0,600000.0
Total Operating Expenses,12600000.0,12100000.0,13000000.0,12500000.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,159600000.0,223700000.0,646800000.0,351700000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,146600000.0,214000000.0,635400000.0,339800000.0
Net Income Applicable To Common Shares,146600000.0,214000000.0,635400000.0,339800000.0
